call_id,O-A-overtalk-incidents,O-A-overtalk-ratio,O-C-overtalk-incidents,O-C-overtalk-ratio,O-overtalk-incidents,O-overtalk-ratio,S-A-intra-call-change-in-sentiment,S-A-sentiment,S-call-change-in-sentiment,S-call-sentiment,S-C-intra-call-change-in-sentiment,S-C-sentiment,TST-A-intra-call-change-in-pitch,TST-A-intra-call-change-in-relative-voice-volume-energy,TST-A-relative-voice-volume-energy,TST-A-voice-dynamism-std-dev-score,TST-C-intra-call-change-in-pitch,TST-C-intra-call-change-in-relative-voice-volume-energy,TST-C-relative-voice-volume-energy,TST-C-voice-dynamism-std-dev-score,TTR-A-average-streak,TTR-A-intra-call-change-in-talk-rate,TTR-A-longest-streak,TTR-A-median-streak,TTR-A-talk-rate,TTR-A-talk-ratio,TTR-A-to-C-talk-rate-ratio,TTR-average-streak,TTR-C-average-streak,TTR-C-intra-call-change-in-talk-rate,TTR-C-longest-streak,TTR-C-median-streak,TTR-C-talk-rate,TTR-C-talk-ratio,TTR-longest-streak,TTR-median-streak,TTR-silence-incidents,TTR-silence-ratio
2062,165,0.41440299999999997,139,0.321488,304,0.7358899999999999,1.085392,0.923077,1.056189,0.9309700000000001,1.04293,0.94,0.9329629999999999,1.153365,3.876495,14.07,1.079804,0.789501,0.7730739999999999,5.048597,27.531,1.354682,51.158,17.75,190,0.9282860000000001,1.130952,32.483000000000004,35.634,1.0583280000000002,171.44,19.04,168,0.8385040000000001,171.44,18.395,0,0.040298
2067,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0,0.0,0.48,0.48,0,0.0
2092,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0,0.0,1.64,1.64,0,0.0
2235,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0,0.0,0.58,0.41,0,0.0
2261,0,0.0,1,0.297297,1,0.297297,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.9674060000000002,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.35,1.35,0,0.912162,0.0,0.96,0.57,0.0,0.57,0.57,0,0.385135,1.35,0.96,0,0.0
2327,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0,0.0,0.82,0.82,0,0.0
2399,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0,0.0,0.52,0.52,0,0.0
2447,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0,0.0,2.41,2.41,0,0.0
2522,64,0.41396000000000005,66,0.42136999999999997,130,0.8353299999999999,0.998302,0.8841459999999999,1.008278,0.8784190000000001,1.004348,0.872727,0.572455,1.072151,1.347269,4.4996220000000005,0.952598,1.2874860000000001,0.7312810000000001,7.508878999999999,155.654,1.241778,263.793,155.654,227,0.94219,1.312139,98.62899999999999,70.117,0.670842,174.80900000000003,51.824,173,0.9324110000000001,263.793,74.52,0,0.044902
2710,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0,0.0,3.02,3.02,0,0.0
2762,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0,0.0,1.51,1.51,0,0.0
2794,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0,0.0,0.75,0.75,0,0.0
2823,1,0.0018149999999999998,2,0.005609,3,0.007423999999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.02264,5.459617,0.0,0.0,1.551654,9.221051,3.3,0.0,3.3,3.3,80,0.054114999999999996,0.373832,30.551,57.802,0.0,57.802,57.802,214,0.95331,57.802,30.551,0,0.0
2831,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0,0.0,0.59,0.59,0,0.0
2850,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0,0.0,2.53,2.53,0,0.0
3040,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0,0.0,0.32,0.32,0,0.0
3090,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9945360000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0,0.0,2.62,2.62,0,0.0
3172,0,0.0,3,0.004677000000000001,3,0.004677000000000001,0.0,0.75,1.011111,0.833333,0.0,0.9444440000000001,0.0,0.0,1.89763,5.552911,1.101191,1.1225969999999998,1.7023139999999999,7.895073,177.512,99999999.0,177.512,177.512,128,0.593441,0.8258059999999999,49.586999999999996,24.000999999999998,0.9547690000000001,103.98700000000001,0.85,155,0.411358,177.512,7.735,0,0.025478
