call_id,O-A-overtalk-incidents,O-A-overtalk-ratio,O-C-overtalk-incidents,O-C-overtalk-ratio,O-overtalk-incidents,O-overtalk-ratio,S-A-intra-call-change-in-sentiment,S-A-sentiment,S-call-change-in-sentiment,S-call-sentiment,S-C-intra-call-change-in-sentiment,S-C-sentiment,TST-A-intra-call-change-in-pitch,TST-A-intra-call-change-in-relative-voice-volume-energy,TST-A-relative-voice-volume-energy,TST-A-voice-dynamism-std-dev-score,TST-C-intra-call-change-in-pitch,TST-C-intra-call-change-in-relative-voice-volume-energy,TST-C-relative-voice-volume-energy,TST-C-voice-dynamism-std-dev-score,TTR-A-average-streak,TTR-A-intra-call-change-in-talk-rate,TTR-A-longest-streak,TTR-A-median-streak,TTR-A-talk-rate,TTR-A-talk-ratio,TTR-A-to-C-talk-rate-ratio,TTR-average-streak,TTR-C-average-streak,TTR-C-intra-call-change-in-talk-rate,TTR-C-longest-streak,TTR-C-median-streak,TTR-C-talk-rate,TTR-C-talk-ratio,TTR-longest-streak,TTR-median-streak,TTR-silence-incidents,TTR-silence-ratio
2013,12,0.092217,9,0.025426,21,0.117643,1.032609,0.817073,1.074844,0.865079,1.037037,0.954545,1.096268,0.692898,2.494946,6.965114,0.924711,0.684991,0.493374,3.100123,19.736,0.929434,103.007,8.466,186,0.829089,0.869159,13.614,6.728,0.997099,25.205,4.252,214,0.297863,103.007,6.98,0,0.073328
2022,8,0.42677,8,0.106332,16,0.533102,1.079365,0.875,1.406061,0.813333,1.5,0.771429,0.929475,0.624334,2.117359,7.677298,3.143101,1.937574,1.534316,7.857861,26.293,0.890279,67.473,23.148,188,0.86132,0.843049,19.318,13.894,0.884298,47.39,11.091,223,0.68252,67.473,14.296,0,0.019745
2023,63,0.384011,49,0.306236,112,0.690247,1.071429,0.85906,1.090688,0.880546,1.114286,0.902778,1.008619,0.598132,1.627087,7.180012,1.703366,1.044799,0.934298,6.461935,19.822,0.71976,62.893,17.163,193,0.880918,1,29.89,39.957,0.952149,194.103,23.451,193,0.892957,194.103,23.143,2,0.108064
2061,12,0.133047,31,0.120795,43,0.253842,1.087912,0.806452,0.9516,0.776398,0.94697,0.757576,0.882831,0.889317,2.570245,8.593836,0.951247,0.973479,2.418648,11.56678,7.367,0.987885,38.244,3.09,240,0.449974,1.182266,9.421,12.503,1.15022,53.011,7.434,203,0.822353,53.011,5.229,0,0.064051
2062,165,0.414403,139,0.321488,304,0.73589,1.085392,0.923077,1.056189,0.93097,1.04293,0.94,0.932963,1.153365,3.876495,14.07,1.079804,0.789501,0.773074,5.048597,27.531,1.354682,51.158,17.75,190,0.928286,1.130952,32.483,35.634,1.058328,171.44,19.04,168,0.838504,171.44,18.395,0,0.040298
2067,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0.48,0.48,0,0
2085,18,0.096447,9,0.014408,27,0.110855,1.389474,0.835821,1.110215,0.862903,0.872054,0.894737,0.919143,1.388388,3.908152,12.17366,1.070824,1.111932,0.614694,3.921331,22.702,0.923564,99.199,13.602,156,0.83849,0.753623,13.989,4.793,0.846456,14.66,3.265,207,0.284987,99.199,5.764,4,0.102225
2092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,1.64,0,0
2129,9,0.025064,17,0.155277,26,0.180341,1.04,0.764706,1.094737,0.793103,1.126667,0.833333,0.994123,0.317022,1.577973,5.846041,1.018851,1.247673,0.817128,4.188298,8.394,1.063203,15.31,8.445,176,0.767008,1.121019,8.177,8.078,1.329304,50.549,4.61,157,0.431228,50.549,5.741,2,0.090275
2163,9,0.234473,5,0.066403,14,0.300876,1.066667,0.666667,0.818182,0.673077,0.583333,0.6875,0.99077,1.134411,2.27498,6.461179,1.071539,0.725518,2.234686,10.2646,18.053,1.14461,20.442,19.73,171,0.914278,0.842365,10.086,6.102,1.012987,17.952,4.838,203,0.415515,20.442,6.52,0,0.087683
2228,5,0.076634,3,0.017767,8,0.094401,0.862745,0.782609,0.880435,0.835165,0.933333,0.888889,1.778697,0.809418,2.369522,8.342661,1.009863,2.311147,1.620551,7.569075,39.449,1.000398,94.891,31.788,168,0.719434,0.870466,22.6,11.368,1.166258,42.276,9.27,193,0.37937,94.891,14.91,0,0.04456
2234,21,0.562134,13,0.289997,34,0.852131,0.7875,0.825581,0.912425,0.813253,1.032258,0.8,1.041044,1.067268,1.136847,4.885194,1.425489,0.758422,1.223216,7.471587,77.485,1.203746,184.266,53.712,161,0.943258,0.964072,61.038,33.628,0.893528,83.517,15.357,167,0.951187,184.266,46.946,0,0.047308
2235,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.58,0.41,0,0
2243,9,0.035578,11,0.00906,20,0.044638,0.957983,0.868421,0.862408,0.866071,0.818182,0.864865,1.025966,1.173481,1.996634,6.604177,1.038316,1.648753,1.18117,5.828543,8.123,0.937586,30.504,5.124,171,0.332172,1,13.934,21.796,0.81719,72.213,10.49,171,0.715793,72.213,7.681,0,0.069353
2246,5,0.045646,18,0.188507,23,0.234154,0.993056,0.826923,0.761905,0.825243,0.625,0.803922,1.003995,0.912364,2.064418,5.646852,0.870377,1.543348,1.071129,5.695889,13.1,0.949521,46.784,6.523,163,0.616698,1.025157,14.43,15.686,1.025267,74.3,12.332,159,0.634001,74.3,8.22,0,0.065999
2250,10,0.191953,11,0.302722,21,0.494675,0.950311,0.753623,0.980571,0.757895,0.991736,0.769231,0.932056,0.814416,1.405136,5.581344,0.944686,0.633474,2.299169,10.06534,77.346,1.19709,77.346,77.346,217,0.975628,1.269006,16.846,11.346,1.055187,37.534,12.092,171,0.536793,77.346,13.104,0,0.034632
2260,11,0.731042,3,0.061266,14,0.792308,0.894444,0.7875,0.903541,0.839806,0.873191,0.873016,1.02085,1.173866,3.590666,9.116095,1.052305,0.898102,1.069111,7.832284,68.944,0.993202,124.559,88.033,139,0.812406,0.879747,67.978,61.221,1.334891,61.221,61.221,158,0.987095,124.559,74.627,0,0.008997
2261,0,0,1,0.297297,1,0.297297,0,1,0,1,0,1,0,0,1.967406,0,0,0,0,0,1.35,0,1.35,1.35,0,0.912162,0,0.96,0.57,0,0.57,0.57,0,0.385135,1.35,0.96,0,0
2286,46,0.285207,22,0.117992,68,0.403199,0.956044,0.87234,1.038092,0.872832,1.110016,0.873418,0.917573,0.901328,1.154997,4.377487,0.972434,1.71772,1.153908,7.951949,17.286,0.854474,85.318,11.096,137,0.826871,0.85625,13.103,8.223,0.803617,23.291,7.703,160,0.624528,85.318,8.886,0,0.10678
2288,17,0.167943,17,0.388489,34,0.556433,1.160998,0.763158,1.205234,0.753731,1.214286,0.741379,1.103747,0.804277,2.874319,8.93367,0.966374,1.030098,0.828425,5.54869,18.431,0.786687,58.168,14.796,168,0.775466,0.933333,18.985,19.539,1.026142,42.104,19.489,180,0.792483,58.168,15.927,0,0.020277
2292,24,0.257882,18,0.322782,42,0.580664,0.950142,0.820513,0.892244,0.822086,0.837535,0.823529,0.992795,0.720079,1.827261,6.46595,1.4418,0.88349,1.225333,8.119827,14.537,0.727331,43.956,13.369,161,0.698316,0.947059,18.609,30.825,1.031995,57.246,29.74,170,0.906237,57.246,14.572,0,0.039515
2298,18,0.265759,18,0.110247,36,0.376006,1.125,0.867925,1.118881,0.855556,1.090909,0.837838,1.034418,0.970166,1.98849,8.529022,1.087158,0.64479,0.689701,3.350275,16.919,1.19232,36.321,16.782,136,0.848072,0.84472,10.431,7.699,1.324553,21.311,5.65,161,0.552777,36.321,8.452,0,0.061978
2301,7,0.130799,7,0.082813,14,0.213612,1.168831,0.783784,0.961538,0.818182,0.714286,0.827586,1.038824,1.267363,1.605481,6.442366,0.881893,1.145718,0.708365,4.026188,15.592,1.004338,44.208,13.88,194,0.725886,1.089888,10.929,7.538,1.169749,23.885,4.423,178,0.501976,44.208,7.33,0,0.062537
2313,18,0.127377,13,0.074779,31,0.202156,1.025641,0.891892,0.923611,0.824561,0.882206,0.805195,0.929474,1.108924,2.839378,8.535112,0.971806,0.836707,1.178741,7.225122,6.74,0.914408,19.102,4.95,194,0.318432,1.197531,13.052,21.792,1.106077,73.34,14.732,162,0.897606,73.34,8.263,1,0.064253
2320,21,0.112473,36,0.409477,57,0.52195,0.743007,0.8,0.886792,0.828402,1.018027,0.848485,0.969637,0.959781,2.015056,5.833158,1.011701,0.793657,0.830712,6.498048,12.38,0.803807,57.835,8.556,194,0.692722,0.979798,17.538,26.708,1.244852,51.004,23.506,198,0.881514,57.835,11.251,0,0.091053
2327,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0
2334,25,0.126844,25,0.052557,50,0.179401,1.037037,0.826087,1.128971,0.867052,1.171875,0.894231,1.07955,0.99747,1.117075,4.419928,1.036518,1.001294,0.996338,5.113005,6.13,1.279445,28.773,3.994,235,0.417911,1.335227,9.163,15.228,0.933474,77.717,10.495,176,0.783759,77.717,6.036,0,0.101031
